company_code	fiscal_year	total_assets	capital	total_equity	revenue	operating_income	net_income
C0000574	2021-12-31	575800 	20000 	23961 	14271807 	19795 	17476 
C0000574	2020-12-31	366379 	20000 	6485 	11033518 	-18809 	-27979 
C0000574	2019-12-31	356083 	20000 	34464 	11937154 	21870 	11871 
C0000370	2024-12-31	17934193 	842130 	8080953 	41940342 	2345265 	1824136 
C0000370	2023-12-31	14362415 	842130 	9918718 	47847469 	1217053 	1089136 
C0000370	2022-12-31	10046616 	842130 	8832028 	46417938 	1745926 	1505643 
C0000370	2021-12-31	8147285 	900000 	7673605 	44300270 	1481325 	1154628 
C0000370	2020-12-31	8621241 	900000 	6573698 	48775789 	1361556 	1123433 
C0000575	2024-12-31	2736816 	350000 	743553 	5330556 	245900 	80711 
C0000575	2023-12-31	2489309 	350000 	662842 	5106736 	202456 	76932 
C0000575	2022-12-31	2353194 	350000 	585911 	6647329 	178856 	59384 
C0000575	2021-12-31	2151765 	350000 	526527 	8327025 	167960 	102024 
C0000575	2020-12-31	2831013 	350000 	424503 	6281644 	88684 	45202 
C0000577	2024-12-31	2644565 	300000 	1023323 	25079076 	142250 	47036 
C0000577	2023-12-31	2675507 	300000 	976287 	21983451 	122098 	42140 
C0000577	2022-12-31	3095137 	300000 	934147 	24657103 	380533 	225215 
C0000577	2021-12-31	1409486 	300000 	708932 	24923018 	386709 	280660 
C0000577	2020-12-31	1207864 	300000 	428271 	24455601 	109944 	58212 
C0000578	2023-12-31	321146 	50000 	80927 	4638923 	51051 	48745 
C0000578	2022-12-31	104802 	50000 	32182 	5623769 	-29041 	-26383 
C0000578	2021-12-31	98094 	50000 	58565 	1177296 	9509 	8565 
C0000401	2024-12-31	8497074 	100000 	2040030 	37714362 	402321 	127775 
C0000401	2023-12-31	7030910 	100000 	1912255 	41508721 	338773 	143044 
C0000401	2022-12-31	6235750 	100000 	1769211 	42489118 	387804 	139751 
C0000401	2021-12-31	6578964 	100000 	1629460 	45822976 	460501 	330142 
C0000401	2020-12-31	5855158 	100000 	1299317 	35796611 	509552 	236317 
C0000579	2023-12-31	1255622 	50000 	399025 	4276147 	81961 	24538 
C0000579	2022-12-31	1321625 	50000 	374487 	4307780 	75591 	31542 
C0000579	2021-12-31	1276615 	50000 	342946 	4158938 	65371 	35880 
C0000579	2020-12-31	780663 	50000 	307066 	5358460 	75876 	62198 
C0000579	2019-12-31	422313 	50000 	244867 	5219489 	82136 	65166 
C0000404	2024-12-31	8631894 	50000 	3635298 	31464983 	444227 	183362 
C0000404	2023-12-31	7549196 	50000 	3451936 	38545521 	464520 	240608 
C0000404	2022-12-31	7302379 	50000 	3211328 	52945869 	409878 	220102 
C0000404	2021-12-31	5633580 	50000 	2991226 	53220975 	507065 	345995 
C0000404	2020-12-31	5166980 	50000 	2645232 	41756314 	464242 	323972 
C0000409	2023-12-31	730745 	50000 	149789 	11086656 	65591 	54098 
C0000409	2022-12-31	356351 	50000 	95691 	7685667 	45922 	45691 
C0000410	2023-12-31	1503346 	50000 	484555 	6667555 	173497 	147154 
C0000410	2022-12-31	1149493 	50000 	337401 	6689277 	178081 	155826 
C0000410	2021-12-31	755384 	50000 	181576 	3520022 	86643 	84262 
C0000410	2020-12-31	406827 	50000 	97313 	2573643 	50555 	51022 
C0000410	2019-12-31	50000 	50000 	46291 	0 	-3709 	-3709 
C0000585	2024-12-31	8814400 	100000 	2924397 	34420095 	716113 	282120 
C0000585	2023-12-31	7773164 	100000 	2642277 	33546176 	426331 	255624 
C0000585	2022-12-31	6021202 	100000 	2386652 	25784154 	384426 	275927 
C0000585	2021-12-31	4387991 	100000 	2110725 	43559856 	571330 	377982 
C0000585	2020-12-31	6809750 	100000 	1732743 	49517587 	420527 	220329 
C0000412	2023-12-31	1997828 	80000 	427171 	6341160 	179547 	109026 
C0000412	2022-12-31	1623110 	80000 	318145 	5924319 	148769 	98278 
C0000412	2021-12-31	1376734 	80000 	219867 	5532224 	101250 	91134 
C0000412	2020-12-31	649922 	80000 	127797 	3979964 	57259 	47797 
C0000413	2024-12-31	797484 	100000 	469785 	5354576 	35325 	25063 
C0000413	2023-12-31	549424 	100000 	444722 	4623569 	24928 	23097 
C0000413	2022-12-31	437055 	100000 	421625 	4372243 	26894 	33115 
C0000413	2021-12-31	467184 	100000 	388510 	3952910 	35779 	28388 
C0000413	2020-12-31	520411 	100000 	360122 	2864090 	18870 	27214 
C0000414	2024-12-31	2796681 	100000 	894695 	34213463 	171175 	77614 
C0000414	2023-12-31	2238314 	100000 	817081 	33312445 	200098 	123929 
C0000414	2022-12-31	2120300 	100000 	693152 	30246089 	84308 	18592 
C0000414	2021-12-31	1866627 	100000 	674560 	21643413 	287367 	223726 
C0000414	2020-12-31	1713724 	100000 	450834 	18664874 	85413 	30216 
C0000417	2024-12-31	450149 	50000 	85080 	1914534 	38705 	35080 
C0000418	2024-12-31	16144549 	550000 	1776909 	34369160 	-449687 	-520824 
C0000418	2023-12-31	17098085 	550000 	2297733 	39722637 	-1170411 	-1260174 
C0000418	2022-12-31	13664160 	550000 	3398375 	39679427 	146689 	112948 
C0000418	2021-12-31	12005651 	550000 	3285427 	29591582 	440852 	296172 
C0000418	2020-12-31	11315443 	550000 	2989255 	23543528 	210916 	115132 
C0000419	2024-12-31	5322955 	850000 	1935957 	5171745 	329043 	190101 
C0000419	2023-12-31	5573925 	850000 	1745856 	4559046 	327949 	161748 
C0000419	2022-12-31	5455307 	850000 	1584108 	3668620 	203071 	89512 
C0000419	2021-12-31	4933336 	850000 	1494596 	4063664 	91510 	25414 
C0000419	2020-12-31	5110759 	850000 	1469182 	3925253 	128949 	280498 
C0000420	2024-12-31	6895959 	230000 	2020226 	14608480 	289058 	93076 
C0000420	2023-12-31	6128011 	200000 	1897150 	13707106 	364804 	174819 
C0000420	2022-12-31	4350932 	200000 	1722331 	12149858 	311073 	206015 
C0000420	2021-12-31	3194012 	200000 	1516316 	9045456 	204626 	163227 
C0000420	2020-12-31	2654766 	200000 	1353089 	8008482 	184771 	136667 
C0000421	2024-12-31	4012812 	500000 	740827 	10957959 	137136 	49544 
C0000421	2023-12-31	3454376 	500000 	775593 	10479236 	258553 	181817 
C0000421	2022-12-31	2541084 	100000 	204174 	8732018 	111218 	120389 
C0000421	2021-12-31	1053533 	100000 	298468 	7401908 	130569 	136022 
C0000421	2020-12-31	605314 	100000 	204175 	5336490 	83546 	87044 
C0000593	2024-12-31	1968053 	100000 	693362 	5626936 	422356 	375508 
C0000593	2023-12-31	1632316 	100000 	317854 	4221493 	-54803 	-45740 
C0000593	2022-12-31	804700 	100000 	363594 	3581184 	88655 	80813 
C0000593	2021-12-31	444043 	100000 	282781 	2228832 	60191 	54455 
C0000593	2020-12-31	701950 	100000 	228326 	2956414 	62643 	57392 
C0000424	2022-12-31	47510 	43503 	43503 	1040214 	11351 	11351 
C0000424	2021-12-31	9668 	4915 	4915 	859965 	-462 	-382 
C0000424	2020-12-31	15921 	14985 	14985 	398800 	12160 	12585 
C0000595	2024-12-31	354607 	189999 	-53055 	401781 	-44297 	-55741 
C0000595	2023-12-31	356187 	190000 	2686 	279335 	-46171 	-55973 
C0000595	2022-12-31	301002 	190000 	58659 	348477 	-80698 	-90326 
C0000595	2021-12-31	222066 	5000 	-34295 	21287 	-39042 	-39295 
C0000425	2024-12-31	4440781 	50000 	1679899 	13356911 	274718 	182532 
C0000425	2023-12-31	3643843 	50000 	1517367 	17790487 	361324 	257804 
C0000425	2022-12-31	2948763 	50000 	1279564 	20585791 	205420 	144835 
C0000425	2021-12-31	2602943 	50000 	1154729 	23438774 	457103 	359251 
C0000425	2020-12-31	1965269 	50000 	815478 	21061285 	249569 	200500 
C0000427	2021-12-31	336949 	120112 	120112 	2421316 	74112 	49213 
C0000427	2020-12-31	212103 	212095 	212095 	1498967 	51946 	41946 
C0000427	2019-12-31	150728 	150649 	150649 	1456567 	68860 	56860 
C0000429	2023-12-31	6548 	6548 	6548 	277272 	-452 	-452 
C0000597	2024-12-31	1472299 	100000 	115484 	6092402 	21165 	15484 
C0000597	2022-12-31	901713 	3004 	3004 	1164688 	-51000 	-51000 
C0000430	2023-12-31	219053 	10000 	46724 	1948422 	58682 	55471 
C0000430	2022-12-31	108964 	10000 	-8747 	923391 	-4988 	-1882 
C0000430	2021-12-31	127052 	10000 	-6865 	153202 	-17236 	-15229 
C0000430	2020-12-31	11647 	10000 	8364 	4500 	-1636 	-1636 
C0000432	2024-12-31	4489127 	267000 	2954329 	16285849 	140198 	64470 
C0000432	2023-12-31	4874985 	267000 	2858860 	21147862 	140891 	121691 
C0000432	2022-12-31	4977374 	267000 	2737169 	31521753 	-3467 	-199727 
C0000432	2021-12-31	6496625 	267000 	2226896 	39306597 	89655 	24326 
C0000432	2020-12-31	5157317 	267000 	2202570 	32670780 	-446525 	-512700 
C0000600	2024-12-31	2661933 	100000 	1403384 	58698415 	114303 	79918 
C0000600	2023-12-31	2481004 	100000 	1323466 	46568888 	1341010 	1157571 
C0000600	2022-12-31	2549249 	100000 	165894 	18540007 	71570 	65894 
C0000435	2024-06-30	596520 	10000 	141317 	26531037 	39250 	36272 
C0000435	2023-06-30	640299 	10000 	105046 	24623829 	85531 	79171 
C0000435	2022-06-30	575692 	10000 	25875 	25144457 	-20091 	-19102 
C0000437	2024-12-31	24443298 	100000 	19560665 	121594927 	2679518 	2067445 
C0000437	2023-12-31	23181422 	100000 	17693219 	100773616 	4321432 	3349640 
C0000437	2022-12-31	19786636 	100000 	14343579 	94404977 	1769142 	1292669 
C0000437	2021-12-31	17556088 	100000 	13050910 	84750842 	6488701 	5120677 
C0000437	2020-12-31	12908520 	100000 	7930234 	80484670 	2435162 	1886048 
C0000602	2024-12-31	2997373 	100000 	1565888 	27222675 	325005 	229869 
C0000602	2023-12-31	2401379 	100000 	1351019 	31179582 	345429 	300261 
C0000602	2022-12-31	2109104 	100000 	1050758 	30063737 	330177 	281924 
C0000602	2021-12-31	1427726 	33000 	701834 	29329259 	386513 	335621 
C0000602	2020-12-31	843922 	33000 	366212 	15084484 	288620 	246282 
C0000438	2024-12-31	798273 	200000 	256474 	17651815 	57088 	35179 
C0000438	2023-12-31	913531 	200000 	221296 	9322802 	37570 	21296 
C0000443	2024-12-31	2990923 	150000 	973080 	13607702 	277132 	83918 
C0000443	2023-12-31	5088063 	150000 	889162 	14294513 	363918 	126777 
C0000443	2022-12-31	3539391 	150000 	762385 	18239757 	232018 	189763 
C0000443	2021-12-31	3329811 	150000 	572622 	21154369 	395690 	284651 
C0000443	2020-12-31	911091 	150000 	287971 	7699089 	149339 	137971 
C0000444	2023-12-31	477313 	64983 	64983 	3704198 	99885 	74454 
C0000444	2022-12-31	641529 	294529 	294529 	3536147 	48526 	36115 
C0000444	2021-12-31	83513 	84414 	84414 	1973554 	-4449 	-4449 
C0000444	2020-12-31	414546 	412863 	412863 	2317940 	12943 	12943 
C0000444	2019-12-31	201919 	201919 	201919 	472182 	-5081 	-5081 
C0000612	2024-12-31	708020 	20000 	175100 	4938897 	58930 	39657 
C0000612	2023-12-31	343149 	20000 	135443 	3226708 	119131 	119603 
C0000612	2022-12-31	89966 	20000 	15840 	248850 	-4160 	-4160 
C0000445	2023-12-31	403778 	20000 	189065 	4060170 	100910 	89375 
C0000445	2022-12-31	101591 	20000 	99691 	3702463 	79363 	79691 
C0000616	2024-12-31	20818363 	300000 	8711401 	53954541 	472457 	456838 
C0000616	2023-12-31	17844048 	300000 	8254563 	49276173 	-1648477 	-1490862 
C0000616	2022-12-31	17654945 	300000 	9765425 	42808643 	-320326 	486237 
C0000616	2021-12-31	18620132 	300000 	9299188 	39798273 	162112 	193914 
C0000616	2020-12-31	15400083 	300000 	9125274 	35949348 	581680 	480411 
C0000617	2023-12-31	1043376 	626073 	626073 	3058180 	206526 	205505 
C0000617	2022-12-31	595412 	448904 	448904 	2478242 	185115 	195318 
C0000617	2021-12-31	381308 	253586 	253586 	1619266 	129333 	129477 
C0000617	2020-12-31	257144 	124109 	124109 	1047338 	103323 	103240 
C0000617	2019-12-31	52683 	52683 	52683 	134411 	6483 	6483 
C0000447	2024-12-31	1122453 	50000 	120765 	1450849 	65177 	21597 
C0000447	2023-12-31	1043940 	50000 	99168 	1437335 	44221 	9819 
C0000447	2022-12-31	608760 	50000 	89349 	1606723 	34754 	17525 
C0000447	2021-12-31	433410 	50000 	71824 	1932427 	30574 	9445 
C0000447	2020-12-31	283675 	50000 	62378 	982832 	17855 	12378 
C0000618	2024-12-31	8061065 	167000 	2026356 	18525814 	525377 	349033 
C0000618	2023-12-31	4515756 	157500 	1013661 	11081635 	244802 	170424 
C0000618	2022-12-31	2756193 	52500 	844273 	8123931 	189252 	103197 
C0000618	2021-12-31	1629295 	52500 	741076 	3183447 	24188 	59290 
C0000618	2020-12-31	464942 	50000 	231785 	831667 	200685 	181785 
C0000621	2022-12-31	631717 	50000 	100087 	6985364 	32030 	30482 
C0000621	2021-12-31	477874 	50000 	69606 	4136891 	18505 	16899 
C0000621	2020-12-31	354353 	50000 	52707 	1638354 	3707 	2707 
C0000450	2024-12-31	2808434 	370000 	569119 	17139968 	195215 	75734 
C0000450	2023-12-31	2091322 	370000 	493385 	13785229 	104411 	50310 
C0000450	2022-12-31	2027210 	370000 	443075 	15652702 	213813 	235121 
C0000450	2021-12-31	2170672 	370000 	207955 	14803831 	216479 	203397 
C0000450	2020-12-31	2104927 	370000 	4558 	10748869 	208687 	268781 
C0000623	2024-12-31	48365275 	603300 	25224471 	69588461 	3182542 	2263160 
C0000623	2023-12-31	49632117 	603300 	24481083 	66488198 	3169939 	2043713 
C0000623	2022-12-31	48229683 	603300 	23667378 	57389444 	1660067 	1144932 
C0000623	2021-12-31	41229750 	600000 	19572894 	47787014 	3750940 	3300059 
C0000623	2020-12-31	34240873 	600000 	16272836 	46659131 	2766776 	2321667 
C0000624	2024-12-31	3983330 	660000 	982100 	3888591 	270372 	107527 
C0000624	2023-12-31	3576452 	660000 	874573 	4119960 	208150 	75529 
C0000624	2022-12-31	3319033 	160000 	799044 	2210718 	78153 	115957 
C0000624	2021-12-31	785875 	160000 	183087 	1493407 	44863 	30775 
C0000624	2020-12-31	457054 	160000 	152312 	1641033 	-32464 	19510 
C0000620	2024-12-31	4169673 	200000 	1880309 	7522336 	285985 	244774 
C0000620	2023-12-31	3861697 	200000 	1635535 	6080150 	13693 	63266 
C0000620	2022-12-31	3771263 	200000 	1592470 	5677729 	124653 	66634 
C0000620	2021-12-31	3678681 	200000 	1525836 	5376697 	-487915 	1172714 
C0000620	2020-12-31	6671776 	200000 	353122 	4471555 	-755611 	-1006123 
C0000619	2024-12-31	3338214 	261000 	661822 	4587443 	209183 	120644 
C0000619	2023-12-31	1143930 	161000 	441178 	5337514 	179292 	163683 
C0000619	2022-12-31	342398 	1000 	117495 	3608733 	122218 	116495 
C0000439	2024-12-31	155071428 	4000000 	26730262 	436424431 	18286984 	779655 
C0000439	2023-12-31	105743210 	4000000 	26095332 	304616542 	12777833 	9160309 
C0000439	2022-12-31	83453830 	4000000 	17005807 	213906027 	11365726 	5881893 
C0000439	2021-12-31	45208338 	4000000 	11155009 	112821289 	5159483 	2338885 
C0000439	2020-12-31	25290601 	4000000 	8831552 	59343694 	1239153 	1162087 
C0000053	2024-12-31	18489063 	100000 	3970302 	53812967 	245039 	589202 
C0000053	2023-12-31	18303199 	100000 	3132538 	59204436 	1178161 	590266 
C0000053	2022-12-31	22849345 	100000 	2542272 	58896934 	1892398 	626110 
C0000053	2021-12-31	19000995 	100000 	1916163 	38693191 	1398701 	894232 
C0000053	2020-12-31	5190974 	100000 	973659 	33939235 	738638 	702936 
C0000137	2024-12-31	13766166 	995000 	5702460 	41576537 	1233989 	922876 
C0000137	2023-12-31	13662915 	995000 	4779584 	42143271 	2550026 	2193398 
C0000137	2022-12-31	15089946 	994999 	2586185 	46084768 	2365453 	2147963 
C0000137	2021-12-31	13651208 	994999 	438222 	26399940 	-306777 	-339845 
C0000137	2020-12-31	12364714 	500000 	781002 	15542852 	150735 	-9564 
C0000194	2024-12-31	15698490 	2099999 	4328194 	10319983 	1139887 	542010 
C0000194	2023-12-31	15717708 	2099999 	3786184 	5882195 	-1038065 	-1635748 
C0000194	2022-12-31	17176050 	2099999 	5421932 	5933557 	673259 	72103 
C0000194	2021-12-31	13765176 	950000 	2433350 	5289451 	352901 	135972 
C0000194	2020-12-31	5126748 	750000 	2117547 	4786044 	114015 	133085 
C0000536	2024-12-31	11045745 	200000 	1889234 	19644930 	98391 	-86758 
C0000536	2023-12-31	10686928 	200000 	1975992 	18421845 	75126 	254870 
C0000536	2022-12-31	9450936 	199999 	1025073 	18157790 	117072 	-97510 
C0000536	2021-12-31	9726116 	200000 	1166451 	18611915 	515681 	402808 
C0000536	2020-12-31	10268370 	199999 	2368963 	16389744 	-269392 	-850434 
C0000230	2024-12-31	102095046 	2239599 	51974898 	144936195 	7405814 	6790946 
C0000230	2023-12-31	96320935 	2239600 	45183953 	165618515 	14481900 	12744413 
C0000230	2022-12-31	76673707 	2239600 	32439540 	174592036 	12642337 	12314934 
C0000230	2021-12-31	72526607 	2239600 	20124606 	145015927 	4746873 	4574039 
C0000230	2020-12-31	68247885 	2239600 	15550567 	107297629 	2454758 	1452708 
C0000274	2024-12-31	10221400 	150000 	3259096 	10997473 	1027748 	757016 
C0000274	2023-12-31	9642320 	150000 	2652080 	10962298 	893188 	593472 
C0000274	2022-12-31	10360180 	150000 	2208460 	9847962 	211099 	42563 
C0000274	2021-12-31	10475650 	150000 	2171639 	8032017 	27961 	11682 
C0000274	2020-12-31	8526079 	150000 	2159957 	6812392 	158629 	7448 
C0000660	2024-12-31	128580 	40000 	115905 	250429 	-2886 	-26904 
C0000660	2023-12-31	169017 	40000 	142809 	349662 	47152 	12680 
C0000660	2022-12-31	153854 	40000 	130129 	354426 	78760 	78900 
C0000660	2021-12-31	80742 	40000 	71229 	375080 	71277 	66926 
C0000660	2020-12-31	17000 	40000 	4303 	49759 	-34846 	-35697 
C0000675	2024-12-31	4552241 	644485 	1422938 	5154560 	134195 	8173 
C0000675	2023-12-31	4242149 	644484 	1414765 	4314429 	150970 	4356 
C0000675	2022-12-31	4294334 	644484 	1410409 	3911801 	128214 	23386 
C0000675	2021-12-31	4391195 	644485 	1387024 	4399112 	102375 	40066 
C0000675	2020-12-31	4650324 	644484 	1346957 	4662210 	48548 	-39047 
C0000670	2024-12-31	443089 	-323151 	-323151 	3292575 	130378 	105437 
C0000670	2023-12-31	333381 	-144766 	-144766 	2538473 	138032 	112616 
C0000670	2022-12-31	289258 	-212193 	-212193 	1726672 	62578 	106055 
C0000670	2021-12-31	1406206 	-140119 	-140119 	2324376 	94453 	61235 
C0000670	2020-12-31	1706121 	159454 	159454 	2328360 	97188 	63739 
C0000741	2024-12-31	146268 	20000 	24391 	603162 	15324 	14359 
C0000741	2023-12-31	40070 	20000 	10031 	6433 	-9969 	-9969 
C0000777	2024-12-31	622496 	172000 	231990 	6492115 	82826 	63259 
C0000777	2023-12-31	365176 	172000 	168730 	5430004 	110684 	95889 
C0000777	2022-12-31	291642 	172000 	72841 	4261555 	83312 	72423 
C0000777	2021-12-31	231296 	50000 	-121582 	4106682 	56073 	42059 
C0000777	2020-12-31	197484 	50000 	-163641 	3661118 	-313932 	-322693 
C0000703	2024-12-31	2283047 	50000 	256593 	21826919 	-587550 	-662505 
C0000703	2023-12-31	2244407 	50000 	983598 	18092996 	254801 	270768 
C0000703	2022-12-31	1720177 	50000 	752831 	12995389 	384926 	391794 
C0000703	2021-12-31	1010972 	50000 	361037 	7652973 	155629 	196862 
C0000703	2020-12-31	525994 	10000 	124175 	3368694 	86721 	92000 
C0000776	2023-12-31	2003986 	50000 	552174 	26966155 	169688 	126087 
C0000776	2022-12-31	1945779 	50000 	426087 	22602094 	127563 	106779 
C0000776	2021-12-31	1259976 	50000 	319308 	9738350 	507123 	453621 
C0000776	2020-12-31	1160505 	50000 	-134313 	3137858 	63802 	35149 
C0000776	2019-12-31	883402 	50000 	-169462 	2136788 	39155 	28548 
C0000778	2024-12-31	186849953 	25793045 	73533322 	436033818 	10723206 	8046217 
C0000778	2023-12-31	162251745 	25793045 	59400770 	406593629 	11642662 	7181562 
C0000778	2022-12-31	180798064 	25793045 	56165529 	427743914 	13977736 	15595091 
C0000778	2021-12-31	169453661 	25793045 	35826247 	377251924 	10137457 	-3176968 
C0000778	2020-12-31	161920081 	25793045 	48665913 	308758381 	14611554 	14440652 
C0000709	2023-12-31	1612838 	50000 	902037 	28638625 	332199 	263104 
C0000709	2022-12-31	1447625 	50000 	638933 	21122977 	308641 	252275 
C0000709	2021-12-31	1032355 	50000 	386658 	19909536 	249732 	230048 
C0000709	2020-12-31	216127 	50000 	156610 	7915006 	106805 	106610 
C0000687	2024-12-31	2972409 	498000 	754036 	4042459 	310764 	115640 
C0000687	2023-12-31	3721377 	498000 	638396 	3480701 	270873 	103777 
C0000687	2022-12-31	3508369 	498000 	534619 	1887396 	100369 	60265 
C0000687	2021-12-31	2819589 	50000 	26354 	865878 	15285 	10784 
C0000687	2020-12-31	1221989 	50000 	15570 	780885 	21273 	5440 
