company_code	fiscal_year	total_assets	capital	total_equity	revenue	operating_income	net_income
C0000160	2023-12-31	458356 	100000 	140475 	4245503 	49913 	40475 
C0000167	2024-12-31	9614096 	850000 	3938752 	31623193 	1122802 	659709 
C0000167	2023-12-31	8356261 	850000 	3279043 	28795316 	743539 	599023 
C0000167	2022-12-31	6590954 	850000 	2680020 	30688453 	740616 	565589 
C0000167	2021-12-31	6270674 	850000 	2114431 	21719330 	452095 	340117 
C0000167	2020-12-31	5492612 	650000 	1732105 	16290556 	564687 	478716 
C0000172	2024-12-31	22847524 	1750000 	12471419 	24313828 	531783 	121514 
C0000172	2023-12-31	23145831 	1750000 	12349905 	28712004 	2860600 	2196164 
C0000172	2022-12-31	22133628 	1750000 	10153741 	28602846 	2192984 	1523221 
C0000172	2021-12-31	21426942 	1750000 	6545962 	31764529 	1694925 	843738 
C0000172	2020-12-31	21333125 	1750000 	6151567 	29336879 	3127739 	1710340 
C0000175	2024-12-31	3875710 	200000 	1767350 	6917327 	264983 	196875 
C0000175	2023-12-31	3863472 	200000 	1570476 	8107281 	306444 	230984 
C0000175	2022-12-31	3483437 	200000 	1339491 	5557521 	349331 	292035 
C0000175	2021-12-31	3151437 	200000 	1047456 	3512073 	87504 	41879 
C0000175	2020-12-31	2467017 	200000 	1005577 	3817630 	65797 	40795 
C0000184	2023-12-31	1314734 	10000 	211914 	12412295 	84699 	52113 
C0000184	2022-12-31	1184307 	10000 	159800 	10510763 	75203 	52671 
C0000184	2021-12-31	1188275 	10000 	107739 	7825004 	118160 	96180 
C0000184	2020-12-31	805337 	10000 	13592 	5384831 	-46640 	-56393 
C0000184	2019-12-31	638553 	10000 	92311 	5487367 	78505 	64979 
C0000198	2024-12-31	3063364 	290000 	1142766 	5964650 	118579 	24683 
C0000198	2023-12-31	2419830 	290000 	1118083 	6007991 	166578 	20342 
C0000198	2022-12-31	2501153 	290000 	1097741 	4052477 	121097 	28953 
C0000198	2021-12-31	2469854 	290000 	1090703 	5390649 	117116 	34907 
C0000198	2020-12-31	2637530 	290000 	1055796 	4627279 	53416 	20138 
C0000199	2023-12-31	143099 	10000 	108764 	13946272 	105950 	97565 
C0000199	2022-12-31	566963 	10000 	11200 	2381582 	724 	1200 
C0000200	2022-12-31	749588 	583181 	583181 	3864480 	337219 	326398 
C0000200	2021-12-31	584603 	282183 	282183 	2656736 	89960 	72364 
C0000200	2020-12-31	583923 	203947 	203947 	1698153 	-260565 	-274598 
C0000200	2019-12-31	540224 	287148 	287148 	1585365 	-7770 	-17984 
C0000200	2018-12-31	461302 	198817 	198817 	2053379 	17752 	3460 
C0000202	2022-12-31	403436 	143319 	143319 	4833852 	98624 	92200 
C0000202	2021-12-31	441193 	169449 	169449 	4837621 	98118 	92011 
C0000202	2020-12-31	320745 	34757 	34757 	2586675 	60433 	56832 
C0000202	2019-12-31	396768 	115254 	115254 	3417042 	57034 	57063 
C0000202	2018-12-31	346436 	257491 	257491 	3002863 	73034 	72069 
C0000206	2021-12-31	228713 	150000 	204867 	1528199 	48016 	54867 
C0000207	2024-12-31	958975 	20000 	626591 	6931169 	30572 	12134 
C0000207	2023-12-31	1058826 	20000 	614457 	8960352 	39910 	14938 
C0000207	2022-12-31	1075529 	20000 	599519 	12394584 	141623 	78083 
C0000207	2021-12-31	1028354 	20000 	521436 	13009616 	308021 	272677 
C0000207	2020-12-31	376057 	20000 	248758 	8406821 	192594 	185157 
C0000210	2024-12-31	16845802 	990000 	6162262 	33946879 	493330 	199904 
C0000210	2023-12-31	15165877 	990000 	5962358 	39698375 	1397050 	974436 
C0000210	2022-12-31	13728767 	990000 	4987921 	31264743 	617303 	300811 
C0000210	2021-12-31	11634327 	990000 	4687110 	24774371 	908461 	803679 
C0000210	2020-12-31	10583211 	990000 	3883431 	20406227 	473759 	430745 
C0000214	2024-12-31	3062513 	100000 	1364874 	6524795 	241042 	146967 
C0000214	2023-12-31	2870633 	100000 	1217907 	7383381 	161293 	125743 
C0000214	2022-12-31	2237426 	100000 	1092164 	6250314 	150715 	128504 
C0000214	2021-12-31	2926078 	100000 	969975 	5156155 	193822 	173160 
C0000214	2020-12-31	2475484 	100000 	796815 	3806065 	-80655 	-123560 
C0000215	2024-12-31	4806828 	300000 	1658550 	20064086 	112491 	42712 
C0000215	2023-12-31	4338081 	150000 	1480838 	24341979 	512585 	406046 
C0000215	2022-12-31	2861936 	150000 	1074792 	27687842 	848147 	695991 
C0000215	2021-12-31	2316267 	150000 	378802 	13460298 	102719 	105431 
C0000215	2020-12-31	1251509 	150000 	273371 	10227762 	34394 	40250 
C0000216	2023-12-31	2816739 	50000 	1957108 	29200389 	444402 	373841 
C0000216	2022-12-31	2092961 	50000 	1599268 	29330291 	309172 	251126 
C0000216	2021-12-31	1716070 	50000 	1348141 	28082627 	269374 	224654 
C0000216	2020-12-31	1180493 	50000 	1123487 	23183493 	253944 	218804 
C0000216	2019-12-31	1260903 	50000 	904683 	30496032 	377037 	296761 
C0000217	2023-12-31	315365 	50000 	137207 	9742686 	54464 	40929 
C0000217	2022-12-31	263490 	50000 	96278 	1379816 	47154 	46278 
C0000217	2021-12-31	292000 	69000 	69000 	1600000 	41000 	41000 
C0000220	2022-12-31	85015 	20000 	13809 	2241867 	-6192 	-6191 
C0000520	2024-12-31	5863839 	190000 	696699 	63265521 	430931 	171640 
C0000520	2023-12-31	3821461 	190000 	525060 	68620135 	169492 	217020 
C0000520	2022-12-31	4349729 	100000 	218039 	21557520 	-1347585 	-1483655 
C0000520	2021-12-31	2360681 	100000 	1701694 	15164036 	1790010 	1461376 
C0000520	2020-12-31	307277 	100000 	240318 	931027 	177545 	140318 
C0000521	2023-12-31	1218115 	50000 	665510 	26614078 	673975 	531028 
C0000521	2022-12-31	267728 	50000 	134483 	17002904 	117656 	84483 
C0000526	2022-12-31	2226656 	50000 	435389 	6328705 	102205 	72376 
C0000526	2021-12-31	962029 	50000 	363013 	5787282 	137684 	122341 
C0000526	2020-12-31	856649 	50000 	240672 	5750093 	138328 	129059 
C0000236	2017-12-31	395239 	100000 	145892 	1816163 	45381 	34421 
C0000236	2016-12-31	316481 	100000 	111470 	1263880 	13488 	11470 
C0000237	2023-12-31	124682 	100000 	97641 	161 	-2900 	-2359 
