No	품목코드	품목약칭	단위	규격	출하일자	코드	거래처약칭	건수	수량	중량	출고단가	공급가액	부가세액	합계금액	보관방법	소비기간	품목명칭	거래처명칭
142	1250100008 	홈플_소갈비찜	EA	0.7	2026.02.25	200009	홈플러스	2	72	50	9,200.00	662,400	66,240	728,640		40일	홈플_소갈비찜 700g	홈플러스(주)
143	1250100008 	홈플_소갈비찜	EA	0.7	2026.02.26	200009	홈플러스	3	174	122	9,200.00	1,600,800	160,080	1,760,880		40일	홈플_소갈비찜 700g	홈플러스(주)
							품목계:	7	330	231		3,036,000	303,600	3,339,600				
144	1250400002 	CJ_푸드빌_크랜베리치	EA	0.5	2026.02.26	300007	씨제이 푸드빌(주)	2	3,128	1,564	4,765.00	14,904,920	1,490,492	16,395,412	냉장	30일	CJ_푸드빌_크랜베리치킨필링	씨제이 푸드빌(주)
							품목계:	2	3,128	1,564		14,904,920	1,490,492	16,395,412				
145	1260100016 	우삼겹라볶이_홈플	EA	0.62	2026.02.24	200009	홈플러스	1	16	10	5,700.00	91,200	9,120	100,320		7일	우삼겹라볶이_홈플델리	홈플러스(주)
146	1260100016 	우삼겹라볶이_홈플	EA	0.62	2026.02.25	200009	홈플러스	1	16	10	5,700.00	91,200	9,120	100,320		7일	우삼겹라볶이_홈플델리	홈플러스(주)
147	1260100016 	우삼겹라볶이_홈플	EA	0.62	2026.02.26	200009	홈플러스	2	10	6	5,700.00	57,000	5,700	62,700		7일	우삼겹라볶이_홈플델리	홈플러스(주)
							품목계:	4	42	26		239,400	23,940	263,340				
148	1260100017 	우삼겹된장찌개_홈플	EA	0.67	2026.02.24	200009	홈플러스	1	30	20	6,170.00	185,100	18,510	203,610		7일	우삼겹된장찌개_홈플델리	홈플러스(주)
149	1260100017 	우삼겹된장찌개_홈플	EA	0.67	2026.02.25	200009	홈플러스	1	30	20	6,170.00	185,100	18,510	203,610		7일	우삼겹된장찌개_홈플델리	홈플러스(주)
150	1260100017 	우삼겹된장찌개_홈플	EA	0.67	2026.02.26	200009	홈플러스	2	10	7	6,170.00	61,700	6,170	67,870		7일	우삼겹된장찌개_홈플델리	홈플러스(주)
							품목계:	4	70	47		431,900	43,190	475,090				
151	1260100018 	소불고기버섯전골_홈	EA	0.49	2026.02.24	200009	홈플러스	1	30	15	6,130.00	183,900	18,390	202,290		7일	소불고기버섯전골_홈플델리	홈플러스(주)
152	1260100018 	소불고기버섯전골_홈	EA	0.49	2026.02.25	200009	홈플러스	1	30	15	6,130.00	183,900	18,390	202,290		7일	소불고기버섯전골_홈플델리	홈플러스(주)
153	1260100018 	소불고기버섯전골_홈	EA	0.49	2026.02.26	200009	홈플러스	1	30	15	6,130.00	183,900	18,390	202,290		7일	소불고기버섯전골_홈플델리	홈플러스(주)
							품목계:	3	90	44		551,700	55,170	606,870				
154	1260100020 	푸짐한순대곱창전골	EA	0.58	2026.02.24	200009	홈플러스	1	30	17	5,990.00	179,700	17,970	197,670		7일	푸짐한순대곱창전골_홈플델리	홈플러스(주)
155	1260100020 	푸짐한순대곱창전골	EA	0.58	2026.02.25	200009	홈플러스	1	30	17	5,990.00	179,700	17,970	197,670		7일	푸짐한순대곱창전골_홈플델리	홈플러스(주)
156	1260100020 	푸짐한순대곱창전골	EA	0.58	2026.02.26	200009	홈플러스	2	4	2	5,990.00	23,960	2,396	26,356		7일	푸짐한순대곱창전골_홈플델리	홈플러스(주)
							품목계:	4	64	37		383,360	38,336	421,696				
157	1271800002 	CJ_타코치킨필링	EA	0.5	2026.02.26	300007	씨제이 푸드빌(주)	2	2,236	1,118	4,580.00	10,240,880	1,024,088	11,264,968	냉장	45일	CJ푸드빌_타코치킨필링	씨제이 푸드빌(주)
							품목계:	2	2,236	1,118		10,240,880	1,024,088	11,264,968				
158	1271800006 	CJ_홀그레인참치필링	EA	0.5	2026.02.26	300007	씨제이 푸드빌(주)	2	2,207	1,104	4,450.00	9,821,150	982,115	10,803,265		30일	CJ_홀그레인참치필링	씨제이 푸드빌(주)
							품목계:	2	2,207	1,104		9,821,150	982,115	10,803,265				
159	1271800009 	CJ_정통고로케 내용물	EA	3	2026.02.26	300007	씨제이 푸드빌(주)	1	1,053	3,159	22,010.00	23,176,530	2,317,653	25,494,183		10일	CJ_정통고로케 내용물	씨제이 푸드빌(주)
							품목계:	1	1,053	3,159		23,176,530	2,317,653	25,494,183				
160	1271800010 	CJ_김치고로케내용물	EA	3	2026.02.26	300007	씨제이 푸드빌(주)	1	680	2,040	19,540.00	13,287,200	1,328,720	14,615,920		10일	CJ_김치고로케 내용물(3kg)	씨제이 푸드빌(주)
							품목계:	1	680	2,040		13,287,200	1,328,720	14,615,920				
161	1271800012 	CJ_수출용김치고로케	EA	3	2026.02.26	300007	씨제이 푸드빌(주)	1	453	1,359	19,680.00	8,915,040	891,504	9,806,544		10일	CJ_수출용김치고로케내용물	씨제이 푸드빌(주)
							품목계:	1	453	1,359		8,915,040	891,504	9,806,544				
162	1271800015 	CJ_계란샐러드필링	EA	0.5	2026.02.26	300007	씨제이 푸드빌(주)	1	5,036	2,518	4,270.00	21,503,720	2,150,372	23,654,092		30일	CJ_고소한계란샐러드필링	씨제이 푸드빌(주)
							품목계:	1	5,036	2,518		21,503,720	2,150,372	23,654,092				
163	1279900010 	신라_불고기고로케	EA	3	2026.02.25	200116	(주)신라명과(남부)	1	166	498	28,800.00	4,780,800	478,080	5,258,880		6일	신라명과_불고기고로케내용물	(주)신라명과남부사업본부
							품목계:	1	166	498		4,780,800	478,080	5,258,880				
							총  계:	317	27,318	25,100		204,258,996	20,400,407	224,659,403				
